"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Austin Ekeler (LAC)","204","915","4.5","72","10","13","107","127","722","6.7","5","3","17","372.7","21.9","100.0%"
"2","Christian McCaffrey (SF)","244","1,139","4.7","49","14","8","85","108","741","8.7","5","0","17","356.4","21.0","100.0%"
"3","Josh Jacobs (LV)","340","1,653","4.9","86","14","12","53","64","400","7.5","0","1","17","328.3","19.3","99.9%"
"4","Derrick Henry (TEN)","349","1,538","4.4","56","20","13","33","41","398","12.1","0","3","16","302.8","18.9","99.9%"
"5","Saquon Barkley (NYG)","295","1,312","4.4","68","16","10","57","76","338","5.9","0","0","16","284.0","17.8","99.9%"
"6","Nick Chubb (CLE)","302","1,525","5.0","41","18","12","27","37","239","8.9","1","1","17","281.4","16.6","99.9%"
"7","Rhamondre Stevenson (NE)","210","1,040","5.0","49","12","5","69","88","421","6.1","1","1","17","249.1","14.7","98.8%"
"8","Tony Pollard (DAL)","193","1,007","5.2","57","18","9","39","55","371","9.5","3","0","16","248.8","15.6","99.8%"
"9","Aaron Jones (GB)","213","1,121","5.3","36","10","2","59","72","395","6.7","5","3","17","248.6","14.6","98.5%"
"10","Joe Mixon (CIN)","212","826","3.9","40","7","7","60","75","441","7.4","2","0","15","240.7","16.0","98.2%"
"11","Dalvin Cook (FA)","264","1,173","4.4","81","14","8","39","56","295","7.6","2","4","17","237.8","14.0","95.4%"
"12","Leonard Fournette (FA)","189","668","3.5","23","1","3","73","83","523","7.2","3","0","16","227.1","14.2","19.7%"
"13","Jamaal Williams (NO)","262","1,066","4.1","58","10","17","12","16","73","6.1","0","2","17","225.9","13.3","89.2%"
"14","Najee Harris (PIT)","272","1,034","3.8","36","2","7","41","53","229","5.6","3","2","17","223.5","13.1","98.9%"
"15","Miles Sanders (CAR)","259","1,269","4.9","40","12","11","20","26","78","3.9","0","2","17","216.7","12.7","96.2%"
"16","Alvin Kamara (NO)","223","897","4.0","27","3","2","57","77","490","8.6","2","4","15","211.7","14.1","94.3%"
"17","Travis Etienne Jr. (JAC)","220","1,125","5.1","62","18","5","35","45","316","9.0","0","3","17","205.1","12.1","99.6%"
"18","Kenneth Walker III (SEA)","228","1,050","4.6","74","21","9","27","35","165","6.1","0","0","15","202.5","13.5","98.6%"
"19","James Conner (ARI)","183","782","4.3","23","3","7","46","58","300","6.5","1","1","13","200.2","15.4","94.2%"
"20","Jerick McKinnon (KC)","72","291","4.0","30","3","1","56","71","512","9.1","9","1","17","196.3","11.5","65.6%"
"21","D'Andre Swift (PHI)","99","542","5.5","50","10","5","48","70","389","8.1","3","0","14","191.1","13.7","92.9%"
"22","Ezekiel Elliott (FA)","231","876","3.8","27","5","12","17","23","92","5.4","0","0","15","185.8","12.4","57.5%"
"23","Devin Singletary (HOU)","178","822","4.6","33","7","5","38","52","280","7.4","1","3","17","178.2","10.5","56.9%"
"24","David Montgomery (DET)","201","801","4.0","28","2","5","34","40","316","9.3","1","2","16","177.7","11.1","92.4%"
"25","Raheem Mostert (MIA)","181","891","4.9","67","9","3","31","42","202","6.5","2","1","16","168.3","10.5","66.0%"
"26","AJ Dillon (GB)","186","770","4.1","27","3","7","28","43","206","7.4","0","0","17","167.6","9.9","88.7%"
"27","Dameon Pierce (HOU)","220","939","4.3","75","13","4","30","39","165","5.5","1","2","13","166.4","12.8","95.9%"
"28","Antonio Gibson (WAS)","149","546","3.7","20","1","3","46","58","353","7.7","2","0","15","165.9","11.1","84.9%"
"29","Tyler Allgeier (ATL)","210","1,035","4.9","44","12","3","16","17","139","8.7","1","0","16","159.4","10.0","53.8%"
"30","Jeff Wilson Jr. (MIA)","176","860","4.9","41","11","5","22","37","185","8.4","1","2","16","158.5","9.9","69.5%"
"31","Cordarrelle Patterson (ATL)","144","695","4.8","40","6","8","21","31","122","5.8","0","1","13","154.7","11.9","19.4%"
"32","Latavius Murray (BUF)","171","760","4.4","52","9","6","27","35","132","4.9","0","0","14","154.2","11.0","1.8%"
"33","Jonathan Taylor (IND)","192","861","4.5","66","8","4","28","40","143","5.1","0","3","12","146.4","12.2","99.8%"
"34","Samaje Perine (DEN)","95","394","4.1","29","1","2","38","51","287","7.6","4","0","16","142.1","8.9","84.7%"
"35","Cam Akers (LAR)","188","786","4.2","42","6","7","13","18","117","9.0","0","2","15","141.3","9.4","93.4%"
"36","Rachaad White (TB)","129","481","3.7","35","3","1","50","58","290","5.8","2","3","17","139.1","8.2","92.4%"
"37","Isiah Pacheco (KC)","170","830","4.9","31","4","5","13","14","130","10.0","0","2","17","135.0","7.9","94.2%"
"38","D'Onta Foreman (CHI)","203","914","4.5","60","12","5","5","9","26","5.2","0","0","16","131.0","8.2","42.2%"
"39","Kareem Hunt (FA)","123","468","3.8","24","2","3","35","44","210","6.0","1","0","17","126.8","7.5","15.3%"
"40","Michael Carter (NYJ)","114","402","3.5","25","3","3","41","54","288","7.0","0","1","16","126.0","7.9","18.0%"
"41","Khalil Herbert (CHI)","129","731","5.7","63","11","4","9","12","57","6.3","1","0","13","117.8","9.1","86.2%"
"42","Breece Hall (NYJ)","80","463","5.8","62","7","4","19","31","218","11.5","1","1","7","115.1","16.4","98.8%"
"43","Brian Robinson Jr. (WAS)","205","797","3.9","24","2","2","9","12","60","6.7","1","0","12","112.7","9.4","88.7%"
"44","James Cook (BUF)","91","525","5.8","33","7","2","21","32","180","8.6","1","1","17","107.5","6.3","89.7%"
"45","Kenyan Drake (FA)","109","482","4.4","40","9","4","17","26","89","5.2","1","0","12","104.1","8.7","0.6%"
"46","Clyde Edwards-Helaire (KC)","71","302","4.3","52","5","3","17","23","151","8.9","3","0","10","98.3","9.8","18.1%"
"47","Jaylen Warren (PIT)","77","379","4.9","31","4","1","28","33","214","7.6","0","0","16","93.3","5.8","27.5%"
"48","Damien Harris (BUF)","106","462","4.4","30","3","3","17","23","97","5.7","0","0","11","90.9","8.3","57.4%"
"49","Eno Benjamin (NO)","77","313","4.1","45","3","2","25","34","193","7.7","0","0","13","89.6","6.9","0.6%"
"50","James Robinson (FA)","110","425","3.9","50","8","3","11","14","51","4.6","2","0","11","88.6","8.1","2.9%"
"51","Alexander Mattison (MIN)","74","283","3.8","15","0","5","15","18","91","6.1","1","0","17","88.4","5.2","89.0%"
"52","Kenneth Gainwell (PHI)","53","240","4.5","13","0","4","23","29","169","7.3","0","0","17","87.9","5.2","24.7%"
"53","Chuba Hubbard (CAR)","95","466","4.9","35","6","2","14","17","171","12.2","0","1","14","87.7","6.3","27.6%"
"54","Melvin Gordon III (FA)","90","318","3.5","17","0","2","25","32","223","8.9","0","2","10","87.1","8.7","0.6%"
"55","Deon Jackson (IND)","68","236","3.5","17","0","1","30","34","209","7.0","1","1","12","84.5","7.0","0.8%"
"56","Nyheim Hines (BUF)","24","33","1.4","9","0","1","30","37","241","8.0","1","0","16","81.4","5.1","2.7%"
"57","J.K. Dobbins (BAL)","92","520","5.7","44","7","2","7","8","42","6.0","1","0","8","81.2","10.2","94.5%"
"58","Dontrell Hilliard (FA)","22","145","6.6","30","3","0","21","26","177","8.4","4","0","12","77.2","6.4","0.6%"
"59","Chase Edmonds (TB)","68","245","3.6","28","3","2","16","24","157","9.8","1","0","13","74.2","5.7","2.3%"
"60","Darrell Henderson Jr. (FA)","70","283","4.0","23","1","3","17","22","102","6.0","0","0","10","73.5","7.4","0.6%"
"61","Rex Burkhead (FA)","26","80","3.1","9","0","0","37","51","204","5.5","1","0","15","71.4","4.8","5.1%"
"62","JaMycal Hasty (JAC)","46","194","4.2","61","4","2","21","27","121","5.8","1","0","14","70.5","5.0","0.9%"
"63","Joshua Kelley (LAC)","69","287","4.2","22","1","2","14","25","101","7.2","0","0","12","64.8","5.4","3.6%"
"64","Zack Moss (IND)","93","456","4.9","43","5","1","11","13","39","3.5","0","1","13","64.5","5.0","1.6%"
"65","Matt Breida (NYG)","54","220","4.1","18","0","1","20","25","118","5.9","0","0","17","59.8","3.5","1.4%"
"66","Gus Edwards (BAL)","87","433","5.0","37","4","3","0","2","0","0","0","1","9","59.3","6.6","10.8%"
"67","Zonovan Knight (NYJ)","85","300","3.5","48","3","1","13","14","100","7.7","0","0","7","59.0","8.4","5.3%"
"68","J.D. McKissic (FA)","22","95","4.3","33","2","0","27","40","173","6.4","0","0","9","55.8","6.2","0.6%"
"69","Ameer Abdullah (LV)","4","20","5.0","7","0","0","25","32","211","8.4","1","0","16","54.1","3.4","0.5%"
"70","Kyle Juszczyk (SF)","7","26","3.7","9","0","1","19","23","200","10.5","1","0","13","53.6","4.1","0.4%"
"71","Rashaad Penny (PHI)","57","346","6.1","41","9","2","4","5","16","4.0","0","0","5","52.2","10.4","86.1%"
"72","Justin Jackson (FA)","42","170","4.0","27","1","1","12","19","101","8.4","1","0","15","51.1","3.4","0.1%"
"73","Mark Ingram II (FA)","62","233","3.8","14","0","1","16","18","68","4.3","0","2","10","50.1","5.0","0.1%"
"74","Dare Ogunbowale (HOU)","42","123","2.9","11","0","1","20","26","104","5.2","0","0","15","48.7","3.2","0.1%"
"75","DeeJay Dallas (SEA)","35","186","5.3","27","1","0","17","19","126","7.4","0","0","15","47.2","3.1","0.7%"
"76","Boston Scott (PHI)","54","217","4.0","21","1","3","5","6","15","3.0","0","0","15","46.2","3.1","0.8%"
"77","Caleb Huntley (ATL)","76","366","4.8","30","3","1","2","2","3","1.5","0","0","12","44.9","3.7","0.1%"
"78","Elijah Mitchell (SF)","45","279","6.2","37","2","2","3","4","7","2.3","0","0","5","43.6","8.7","57.7%"
"79","Travis Homer (CHI)","19","74","3.9","16","0","0","16","18","157","9.8","1","1","12","43.1","3.6","0.3%"
"80","Raheem Blackshear (CAR)","23","77","3.3","16","0","3","10","12","93","9.3","0","1","13","43.0","3.3","0.3%"
"81","Ty Johnson (FA)","30","160","5.3","32","3","1","12","24","88","7.3","0","0","12","42.8","3.6","0.1%"
"82","Javonte Williams (DEN)","47","204","4.3","17","0","0","16","22","76","4.8","0","1","4","42.0","10.5","89.2%"
"83","Justice Hill (BAL)","49","262","5.3","34","2","0","12","12","58","4.8","0","1","15","42.0","2.8","0.3%"
"84","Marlon Mack (FA)","16","84","5.3","17","0","1","8","10","99","12.4","1","0","8","38.3","4.8","3.1%"
"85","Alec Ingold (MIA)","6","8","1.3","2","0","1","15","23","105","7.0","1","0","12","38.3","3.2","0.1%"
"86","Malik Davis (DAL)","38","161","4.2","23","2","1","6","7","63","10.5","0","0","6","34.4","5.7","1.8%"
"87","Jordan Mason (SF)","43","258","6.0","55","4","1","0","0","0","0","0","0","12","31.8","2.7","1.2%"
"88","Avery Williams (ATL)","22","109","5.0","21","1","1","13","14","61","4.7","0","1","17","31.5","1.9","0.1%"
"89","C.J. Ham (MIN)","4","7","1.8","3","0","2","10","12","86","8.6","0","0","11","31.3","2.8","0.1%"
"90","Craig Reynolds (DET)","23","102","4.4","21","1","0","9","10","116","12.9","0","0","7","30.8","4.4","0.3%"
"91","Kyren Williams (LAR)","35","139","4.0","17","0","0","9","12","76","8.4","0","0","8","30.5","3.8","2.8%"
"92","Gary Brightwell (NYG)","31","141","4.5","25","1","1","5","8","39","7.8","0","0","15","29.0","1.9","0.3%"
"93","Brandon Bolden (LV)","17","66","3.9","12","0","0","10","10","62","6.2","1","0","12","28.8","2.4","0.2%"
"94","Mike Boone (HOU)","24","102","4.3","18","0","0","9","15","96","10.7","0","0","8","28.8","3.6","0.2%"
"95","Pierre Strong Jr. (NE)","10","100","10.0","44","3","1","7","7","42","6.0","0","0","10","27.2","2.7","2.4%"
"96","Jonathan Williams (WAS)","37","152","4.1","23","1","0","7","10","40","5.7","0","0","9","26.2","2.9","0.2%"
"97","Hassan Haskins (TEN)","25","93","3.7","12","0","0","11","12","57","5.2","0","0","14","26.0","1.9","0.8%"
"98","Sony Michel (LAR)","36","106","2.9","12","0","0","9","13","53","5.9","0","0","10","24.9","2.5","0.2%"
"99","Malcolm Brown (FA)","18","81","4.5","23","1","1","5","6","37","7.4","0","0","7","22.8","3.3","0.0%"
"100","Reggie Gilliam (BUF)","0","0","0","0","0","0","9","11","76","8.4","1","0","8","22.6","2.8","0.1%"
"101","Tevin Coleman (FA)","12","26","2.2","14","0","1","3","3","44","14.7","1","0","3","22.0","7.3","0.0%"
"102","Corey Clement (ARI)","15","55","3.7","12","0","1","5","7","54","10.8","0","0","5","21.9","4.4","0.2%"
"103","Darrel Williams (FA)","21","102","4.9","30","2","1","4","8","9","2.3","0","0","5","21.1","4.2","1.1%"
"104","Derek Watt (FA)","9","21","2.3","4","0","1","5","5","11","2.2","1","0","12","20.2","1.7","0.1%"
"105","Patrick Ricard (BAL)","7","16","2.3","5","0","0","11","13","74","6.7","0","0","13","20.0","1.5","0.1%"
"106","Royce Freeman (FA)","41","117","2.9","11","0","0","6","8","33","5.5","0","1","5","19.0","3.8","1.0%"
"107","Benny Snell Jr. (FA)","20","90","4.5","16","0","1","2","2","17","8.5","0","0","9","18.7","2.1","2.0%"
"108","Zander Horvath (LAC)","4","8","2.0","3","0","0","5","8","8","1.6","2","0","8","18.6","2.3","0.1%"
"109","Keaontay Ingram (ARI)","27","60","2.2","13","0","1","4","5","21","5.3","0","0","11","18.1","1.6","1.5%"
"110","Ronald Jones II (DAL)","17","70","4.1","13","0","1","1","1","22","22.0","0","0","5","16.2","3.2","1.9%"
"111","Phillip Lindsay (FA)","15","49","3.3","15","0","0","6","8","19","3.2","0","0","3","14.8","4.9","0.0%"
"112","Jordan Wilkins (FA)","13","58","4.5","9","0","0","6","8","29","4.8","0","0","4","14.7","3.7","0.0%"
"113","Salvon Ahmed (MIA)","12","64","5.3","11","0","1","1","1","8","8.0","0","0","7","14.2","2.0","0.1%"
"114","Chris Evans (CIN)","0","0","0","0","0","0","3","4","38","12.7","1","0","10","12.8","1.3","0.8%"
"115","Kene Nwangwu (MIN)","9","14","1.6","8","0","0","2","2","21","10.5","0","0","14","11.5","0.8","0.9%"
"116","Kevin Harris (NE)","18","52","2.9","14","0","1","0","0","0","0","0","0","5","11.2","2.2","0.4%"
"117","Darrynton Evans (FA)","14","64","4.6","21","1","0","1","1","33","33.0","0","0","3","10.7","3.6","0.0%"
"118","Tony Jones Jr. (DEN)","10","24","2.4","7","0","0","5","8","30","6.0","0","0","3","10.4","3.5","0.4%"
"119","Ty Montgomery (NE)","2","-2","-1.0","0","0","0","3","4","15","5.0","1","0","1","10.3","10.3","0.5%"
"120","Snoop Conner (JAC)","12","42","3.5","8","0","1","0","0","0","0","0","0","5","10.2","2.0","0.1%"
"121","Ke'Shawn Vaughn (TB)","17","53","3.1","12","0","0","3","4","19","6.3","0","0","9","10.2","1.1","0.4%"
"122","Ronnie Rivers (LAR)","9","21","2.3","5","0","0","5","5","29","5.8","0","0","2","10.0","5.0","0.1%"
"123","Tyrion Davis-Price (SF)","34","99","2.9","20","1","0","0","2","0","0","0","0","5","9.9","2.0","0.7%"
